                           Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x
Corp-Aaa_Corp_y                   1.000000             0.000000             0.010600             0.000000             0.003800             0.000700             0.000000             0.000800             0.006700             0.001100             0.370300             0.000000             0.000300             0.003100               0.000000             0.000000             0.003700             0.005500             0.013200             0.000000             0.000700             0.003800             0.007100             0.000000             0.000000             0.001000             0.005600             0.000000
Corp-Aa_Corp_y                    0.000200             1.000000             0.000100             0.000000             0.004700             0.001800             0.000600             0.001300             0.032100             0.000000             0.302900             0.017400             0.004200             0.033000               0.000300             0.000200             0.005100             0.004700             0.001600             0.000000             0.001600             0.001800             0.000300             0.000000             0.000000             0.000600             0.000000             0.000000
Corp-A_Corp_y                     0.000100             0.000200             1.000000             0.000000             0.002100             0.001100             0.002700             0.002200             0.035900             0.000000             0.262800             0.009400             0.004300             0.017900               0.000000             0.000000             0.002600             0.011200             0.002100             0.000000             0.000700             0.005700             0.001100             0.000100             0.000000             0.016800             0.002800             0.000100
Corp-Baa_Corp_y                   0.000000             0.000000             0.000000             1.000000             0.000100             0.001700             0.002600             0.004000             0.007200             0.000000             0.276300             0.000100             0.003400             0.000000               0.000000             0.000000             0.000000             0.000200             0.000000             0.000100             0.000000             0.000500             0.000000             0.001700             0.000000             0.000000             0.000000             0.002600
TB-3MO-TY_y                       0.052100             0.016000             0.021200             0.012100             1.000000             0.000000             0.000000             0.010700             0.010000             0.115100             0.001800             0.003700             0.011900             0.001300               0.000600             0.000600             0.052000             0.015900             0.021300             0.012100             0.003400             0.000300             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
TB-1YR-TY_y                       0.029000             0.002700             0.000200             0.000200             0.000500             1.000000             0.050700             0.017600             0.043700             0.074500             0.007000             0.022900             0.000100             0.000000               0.000100             0.000100             0.194700             0.073400             0.010500             0.006800             0.029000             0.002800             0.000200             0.000200             0.000000             0.000000             0.000000             0.000000
TB-5YR-TY_y                       0.022000             0.033300             0.058600             0.000200             0.319500             0.175000             1.000000             0.136900             0.025300             0.019900             0.426000             0.111100             0.000100             0.000000               0.000000             0.000000             0.046900             0.046200             0.088200             0.002200             0.016900             0.007300             0.015500             0.000000             0.022000             0.033500             0.058600             0.000200
Econ-UNRATE_y                     0.000100             0.000000             0.000000             0.000000             0.000100             0.000000             0.001200             1.000000             0.185300             0.012900             0.003800             0.000000             0.000000             0.000400               0.000200             0.000300             0.000100             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000
Econ-DSPIC96_y                    0.467900             0.371400             0.152800             0.181900             0.009900             0.030900             0.438000             0.000900             1.000000             0.321500             0.283200             0.023100             0.000500             0.008800               0.017500             0.071500             0.053100             0.030300             0.036000             0.077300             0.013400             0.004700             0.012300             0.075600             0.033500             0.000100             0.000400             0.002600
Econ-CPIAUCSL_y                   0.039100             0.096800             0.123200             0.251900             0.001900             0.000300             0.012800             0.097700             0.054200             1.000000             0.127800             0.000000             0.003500             0.005300               0.001800             0.038200             0.004800             0.002200             0.000700             0.003400             0.004800             0.002200             0.000800             0.004400             0.000000             0.000100             0.000000             0.001100
