                             Corp-Aaa_Corp_x       Corp-Aa_Corp_x        Corp-A_Corp_x      Corp-Baa_Corp_x          TB-3MO-TY_x          TB-1YR-TY_x          TB-5YR-TY_x        Econ-UNRATE_x       Econ-DSPIC96_x      Econ-CPIAUCSL_x      Econ-CPILFESL_x        Econ-INDPRO_x           Econ-PCE_x       Market-SP500_x  Market-SP500-change_x        Market-RMRF_x         CS-Aaa-3MO_x          CS-Aa-3MO_x           CS-A-3MO_x         CS-Baa-3MO_x         CS-Aaa-1YR_x          CS-Aa-1YR_x           CS-A-1YR_x         CS-Baa-1YR_x         CS-Aaa-5YR_x          CS-Aa-5YR_x           CS-A-5YR_x         CS-Baa-5YR_x    CS-Aaa-3MO-diff_x     CS-Aa-3MO-diff_x      CS-A-3MO-diff_x    CS-Baa-3MO-diff_x    CS-Aaa-1YR-diff_x     CS-Aa-1YR-diff_x      CS-A-1YR-diff_x    CS-Baa-1YR-diff_x    CS-Aaa-5YR-diff_x     CS-Aa-5YR-diff_x      CS-A-5YR-diff_x    CS-Baa-5YR-diff_x     TB-3MO-TY-diff_x     TB-1YR-TY-diff_x     TB-5YR-TY-diff_x   Market-RMRF-diff_x  Market-SP500-diff_x   Econ-UNRATE-diff_x  Econ-DSPIC96-diff_x  Econ-CPIAUCSL-diff_x  Econ-CPILFESL-diff_x   Econ-INDPRO-diff_x      Econ-PCE-diff_x  Market-SP500-pc-delta_x
Corp-Aaa_Corp_y                     1.000000             0.019800             0.008900             0.000000             0.043100             0.047900             0.000000             0.002900             0.004700             0.000400             0.006700             0.005900             0.005400             0.008700               0.001000             0.004400             0.043100             0.062100             0.029200             0.000700             0.047900             0.011400             0.006800             0.000100             0.000000             0.000000             0.000000             0.000000             0.102800             0.102800             0.004700             0.004200             0.035600             0.035600             0.022600             0.001000             0.146700             0.146700             0.006800             0.027200             0.093800             0.052700             0.002400             0.007200             0.011000             0.004500             0.027000              0.003600              0.366700             0.013600             0.004500                 0.001000
Corp-Aa_Corp_y                      0.000200             1.000000             0.020700             0.000100             0.009400             0.193000             0.027300             0.003200             0.060600             0.029200             0.033800             0.030100             0.029600             0.036300               0.023900             0.017100             0.006200             0.009700             0.015100             0.003500             0.078000             0.191700             0.083000             0.005900             0.018700             0.027200             0.027800             0.006300             0.010200             0.010200             0.035500             0.002600             0.037900             0.037900             0.035700             0.004300             0.241400             0.241400             0.157200             0.043300             0.024900             0.097400             0.292400             0.074600             0.035600             0.002100             0.074900              0.026400              0.018600             0.024900             0.029200                 0.023900
Corp-A_Corp_y                       0.000600             0.050200             1.000000             0.000300             0.017100             0.298700             0.063700             0.021600             0.039000             0.074700             0.214900             0.005400             0.092900             0.044100               0.000200             0.000200             0.019000             0.061200             0.017500             0.001700             0.161000             0.243800             0.297100             0.054300             0.011200             0.086800             0.063600             0.016000             0.005400             0.005400             0.037700             0.000700             0.049300             0.049300             0.057900             0.026500             0.279400             0.279400             0.178100             0.124000             0.009900             0.048600             0.223600             0.008000             0.013100             0.013300             0.037700              0.030200              0.059700             0.003800             0.089800                 0.000200
Corp-Baa_Corp_y                     0.003600             0.089900             0.007600             1.000000             0.048700             0.278500             0.130000             0.015600             0.075700             0.273700             0.250600             0.024400             0.191100             0.011000               0.000100             0.000100             0.004100             0.032200             0.124800             0.047900             0.061100             0.537700             0.318300             0.278400             0.000500             0.307000             0.174300             0.129700             0.012200             0.012200             0.049800             0.017000             0.154900             0.154900             0.112000             0.035700             0.168400             0.168400             0.052700             0.256400             0.007100             0.028000             0.122500             0.003500             0.000900             0.012800             0.047800              0.209500              0.020600             0.014100             0.228600                 0.000100
TB-3MO-TY_y                         0.024300             0.003600             0.006600             0.005000             1.000000             0.000000             0.089000             0.002600             0.002900             0.010700             0.003200             0.011300             0.002700             0.002200               0.143700             0.143700             0.024700             0.003600             0.006600             0.005100             0.089300             0.051200             0.059800             0.033200             0.078400             0.023500             0.019500             0.014300             0.004900             0.004900             0.004700             0.001500             0.037200             0.037200             0.038700             0.014500             0.265400             0.265400             0.360300             0.263800             0.036800             0.000000             0.022700             0.053600             0.010000             0.040300             0.272700              0.190500              0.015500             0.012700             0.004400                 0.143700
TB-1YR-TY_y                         0.024900             0.032500             0.017500             0.007200             0.000100             1.000000             0.577300             0.003500             0.007100             0.009800             0.004200             0.101400             0.001300             0.000200               0.002200             0.001800             0.008900             0.025600             0.013500             0.006100             0.024900             0.032600             0.017500             0.007200             0.006200             0.031700             0.015700             0.009200             0.001800             0.001800             0.015300             0.002900             0.094000             0.094000             0.118900             0.095700             0.102700             0.102700             0.149600             0.074200             0.000500             0.000400             0.140800             0.005200             0.000300             0.221600             0.520300              0.186500              0.439700             0.321600             0.000700                 0.002200
TB-5YR-TY_y                         0.000400             0.001700             0.002000             0.000000             0.046800             0.022000             1.000000             0.012700             0.060400             0.012300             0.002200             0.035500             0.039300             0.000000               0.000000             0.000000             0.000000             0.019400             0.023200             0.000700             0.000100             0.013300             0.008800             0.000500             0.000400             0.001700             0.002000             0.000000             0.033400             0.033400             0.058600             0.011100             0.077300             0.077300             0.079300             0.014600             0.012300             0.012300             0.015100             0.000900             0.059000             0.005300             0.244500             0.000000             0.000000             0.016500             0.095600              0.007800              0.356600             0.031100             0.033400                 0.000000
Econ-UNRATE_y                       0.000000             0.000000             0.000000             0.000000             0.092400             0.069900             0.012300             1.000000             0.015800             0.000000             0.008700             0.000000             0.019200             0.000900               0.076700             0.077700             0.001200             0.000000             0.000000             0.000000             0.002800             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.016700             0.016700             0.002500             0.000400             0.009500             0.009500             0.000900             0.000300             0.006100             0.006100             0.001700             0.001400             0.059800             0.106700             0.006200             0.094900             0.170800             0.204700             0.045300              0.247000              0.047400             0.108200             0.016000                 0.076700
Econ-DSPIC96_y                      0.121900             0.285600             0.114100             0.246400             0.265300             0.564100             0.348500             0.003800             1.000000             0.005100             0.001400             0.157500             0.000000             0.001900               0.272900             0.270400             0.107100             0.548800             0.091800             0.362900             0.101600             0.398000             0.111200             0.339000             0.001400             0.086200             0.007200             0.019300             0.012000             0.012000             0.044800             0.149500             0.008600             0.008600             0.037800             0.143400             0.296500             0.296500             0.042600             0.192800             0.142700             0.303200             0.595100             0.191800             0.839000             0.005300             0.241000              0.007400              0.237300             0.283000             0.001700                 0.272900
Econ-CPIAUCSL_y                     0.034000             0.081500             0.035300             0.031700             0.045000             0.063700             0.743500             0.116600             0.004700             1.000000             0.005000             0.010700             0.059400             0.002500               0.000100             0.000400             0.010500             0.010000             0.018000             0.010600             0.006400             0.001000             0.001700             0.001000             0.017900             0.128400             0.129800             0.142800             0.057100             0.057100             0.024100             0.034200             0.010400             0.010400             0.007800             0.010600             0.195300             0.195300             0.120900             0.098000             0.387400             0.345400             0.504400             0.000500             0.000100             0.059600             0.039700              0.000300              0.004600             0.098600             0.023400                 0.000100
