                                      mean               stddev                  min                  max
Corp-Aaa_Corp                     2.968338             0.703585             1.822678             6.426049
Corp-Aa_Corp                      2.821986             0.776065             1.776138             5.894147
Corp-A_Corp                       3.385632             0.930743             2.335005             7.290118
Corp-Baa_Corp                     4.158938             1.116861             3.076685             9.229486
TB-3MO-TY                         0.494606             0.743960             0.000000             2.450000
TB-1YR-TY                         0.687717             0.770334             0.090000             2.700000
TB-5YR-TY                         1.684606             0.603073             0.590000             2.980000
Econ-UNRATE                       6.581102             2.130644             3.600000            10.000000
Econ-DSPIC96                 13,012.776378         1,032.868518        11,512.600000        15,021.200000
Econ-CPIAUCSL                   234.536614            11.767036           212.495000           256.294000
Econ-CPILFESL                   238.420898            13.563196           217.792000           264.180000
Econ-INDPRO                     101.314048             5.751069            87.074200           110.551600
Econ-PCE                     11,903.844882         1,421.115442         9,718.500000        14,682.400000
Market-SP500                  1,845.945754           603.754635           735.090000         2,980.379900
Market-SP500-change               1.076302             3.874854           -10.993100            10.772300
Market-RMRF                       0.581695             3.975799           -11.547700            10.752300
CS-Aaa-3MO                        2.473740             0.877177             0.653000             6.166000
CS-Aa-3MO                         2.327339             0.955334             0.468000             5.684000
CS-A-3MO                          2.891016             1.158063             0.762000             7.080000
CS-Baa-3MO                        3.664362             1.369402             1.359000             9.019000
CS-Aaa-1YR                        2.280630             0.845628             0.781000             5.706000
CS-Aa-1YR                         2.134228             0.929098             0.608000             5.324000
CS-A-1YR                          2.697906             1.134176             0.896000             6.720000
CS-Baa-1YR                        3.471252             1.344800             1.463000             8.659000
CS-Aaa-5YR                        1.283740             0.471294             0.664000             4.436000
CS-Aa-5YR                         1.137339             0.615666             0.430000             4.224000
CS-A-5YR                          1.701016             0.812781             0.742000             5.620000
CS-Baa-5YR                        2.474362             1.053218             1.188000             7.559000
CS-Price-Aaa-3MO                992.629335             2.565941           982.014149           998.027620
CS-Price-Aa-3MO                 993.062584             2.794989           983.370547           998.584714
CS-Price-A-3MO                  991.416796             3.356259           979.463967           997.700011
CS-Price-Baa-3MO                989.176539             3.912019           974.146635           995.913831
CS-Price-Aaa-1YR                973.389966             9.595172           935.578931           990.707850
CS-Price-Aa-1YR                 975.082683            10.547556           939.652312           992.752481
CS-Price-A-1YR                  968.713057            12.676293           924.921809           989.352968
CS-Price-Baa-1YR                960.088583            14.676911           905.151250           982.722186
CS-Price-Aaa-5YR                926.723425            24.372275           770.723538           961.069729
CS-Price-Aa-5YR                 935.093614            32.369323           780.177783           974.583880
CS-Price-A-5YR                  904.904388            40.724566           720.315933           956.613684
CS-Price-Baa-5YR                865.381664            48.864040           645.831859           931.592380
CS-Aaa-3MO-diff                  -0.037606             0.171901            -0.508000             0.340000
CS-Aa-3MO-diff                   -0.037606             0.171901            -0.508000             0.340000
CS-A-3MO-diff                    -0.048047             0.190533            -0.611000             0.519000
CS-Baa-3MO-diff                  -0.061874             0.214903            -0.899000             0.509000
CS-Price-Aaa-3MO-diff             0.095648             0.719835            -2.204706             5.434227
CS-Price-Aa-3MO-diff              0.109908             0.501722            -0.985209             1.446000
CS-Price-A-3MO-diff               0.138772             0.548362            -1.447054             1.714387
CS-Price-Baa-3MO-diff             0.175564             0.608621            -1.474612             2.449877
CS-Price-Aaa-1YR-diff             0.339643             2.476651            -6.326551            19.636813
CS-Price-Aa-1YR-diff              0.394439             1.684502            -3.437858             5.297686
CS-Price-A-1YR-diff               0.502251             1.856390            -4.547356             6.289456
CS-Price-Baa-1YR-diff             0.636057             2.143827            -5.553402             8.967339
CS-Price-Aaa-5YR-diff             1.004102             9.634562           -29.974303            76.980210
CS-Price-Aa-5YR-diff              1.248738             9.326676           -29.404763            40.510480
CS-Price-A-5YR-diff               1.675303            10.114955           -25.852472            43.667492
CS-Price-Baa-5YR-diff             2.131804            11.105743           -27.584155            49.627295
TB-3MO-TY-diff                    0.015512             0.063469            -0.230000             0.230000
TB-1YR-TY-diff                    0.012835             0.083027            -0.290000             0.210000
TB-5YR-TY-diff                    0.002283             0.207814            -0.470000             0.680000
Market-RMRF-diff                  0.037689             5.745197           -11.592700            19.513600
Market-SP500-diff                16.540000            68.494802          -253.319800           197.250000
Econ-UNRATE-diff                 -0.032283             0.159666            -0.500000             0.500000
Econ-DSPIC96-diff                26.570079            88.704103          -749.500000           323.200000
Econ-CPIAUCSL-diff                0.349299             0.455228            -1.505000             1.768000
Econ-CPILFESL-diff                0.368772             0.162796            -0.248000             0.726000
Econ-INDPRO-diff                  0.148687             0.520943            -1.434200             1.578500
Econ-PCE-diff                    38.571654            36.056958          -117.400000           138.000000
Market-SP500-pc-delta             0.010763             0.038749            -0.109931             0.107723
**** cs stats ****
                                     count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                   127.000000             2.968338             0.706371             1.822678             2.555323             2.896564             3.247381             6.426049
Corp-Aa_Corp                    127.000000             2.821986             0.779138             1.776138             2.303687             2.628155             3.187804             5.894147
Corp-A_Corp                     127.000000             3.385632             0.934429             2.335005             2.794241             3.067209             3.698918             7.290118
Corp-Baa_Corp                   127.000000             4.158938             1.121284             3.076685             3.477470             3.884088             4.331868             9.229486
TB-3MO-TY                       127.000000             0.494606             0.746906             0.000000             0.050000             0.140000             0.495000             2.450000
TB-1YR-TY                       127.000000             0.687717             0.773385             0.090000             0.170000             0.320000             0.820000             2.700000
TB-5YR-TY                       127.000000             1.684606             0.605461             0.590000             1.295000             1.670000             2.057500             2.980000
Econ-UNRATE                     127.000000             6.581102             2.139082             3.600000             4.700000             6.200000             8.650000            10.000000
Econ-DSPIC96                    127.000000        13,012.776378         1,036.959103        11,512.600000        12,112.950000        12,825.300000        13,760.600000        15,021.200000
Econ-CPIAUCSL                   127.000000           234.536614            11.813638           212.495000           226.673500           235.976000           243.214500           256.294000
Econ-CPILFESL                   127.000000           238.420898            13.616911           217.792000           226.312000           237.529000           250.239000           264.180000
Econ-INDPRO                     127.000000           101.314048             5.773846            87.074200            97.958200           102.190700           105.277250           110.551600
Econ-PCE                        127.000000        11,903.844882         1,426.743644         9,718.500000        10,745.600000        11,750.900000        13,051.950000        14,682.400000
Market-SP500                    127.000000         1,845.945754           606.145752           735.090000         1,316.525000         1,920.030000         2,258.850100         2,980.379900
Market-SP500-change             127.000000             1.076302             3.890200           -10.993100            -1.049900             1.475900             3.425900            10.772300
Market-RMRF                     127.000000             0.581695             3.991545           -11.547700            -1.509000             0.843300             3.049450            10.752300
CS-Aaa-3MO                      127.000000             2.473740             0.880651             0.653000             1.931500             2.460000             2.862500             6.166000
CS-Aa-3MO                       127.000000             2.327339             0.959118             0.468000             1.755000             2.220000             2.742000             5.684000
CS-A-3MO                        127.000000             2.891016             1.162650             0.762000             2.279000             2.742000             3.453500             7.080000
CS-Baa-3MO                      127.000000             3.664362             1.374826             1.359000             2.953500             3.484000             4.147500             9.019000
CS-Aaa-1YR                      127.000000             2.280630             0.848977             0.781000             1.801000             2.295000             2.705500             5.706000
CS-Aa-1YR                       127.000000             2.134228             0.932777             0.608000             1.609000             2.071000             2.641000             5.324000
CS-A-1YR                        127.000000             2.697906             1.138668             0.896000             2.056500             2.593000             3.338500             6.720000
CS-Baa-1YR                      127.000000             3.471252             1.350126             1.463000             2.674500             3.342000             4.037500             8.659000
CS-Aaa-5YR                      127.000000             1.283740             0.473160             0.664000             1.044000             1.256000             1.383500             4.436000
CS-Aa-5YR                       127.000000             1.137339             0.618104             0.430000             0.755000             0.987000             1.295500             4.224000
CS-A-5YR                        127.000000             1.701016             0.816000             0.742000             1.163000             1.484000             2.034500             5.620000
CS-Baa-5YR                      127.000000             2.474362             1.057389             1.188000             1.767000             2.357000             2.865000             7.559000
CS-Price-Aaa-3MO                127.000000           992.629335             2.576103           982.014149           991.475578           992.655409           994.213786           998.027620
CS-Price-Aa-3MO                 127.000000           993.062584             2.806058           983.370547           991.828170           993.361790           994.736578           998.584714
CS-Price-A-3MO                  127.000000           991.416796             3.369552           979.463967           989.754062           991.828162           993.187939           997.700011
CS-Price-Baa-3MO                127.000000           989.176539             3.927513           974.146635           987.748814           989.665567           991.209675           995.913831
CS-Price-Aaa-1YR                127.000000           973.389966             9.633173           935.578931           968.473097           973.138628           978.808128           990.707850
CS-Price-Aa-1YR                 127.000000           975.082683            10.589329           939.652312           969.203502           975.701913           981.027986           992.752481
CS-Price-A-1YR                  127.000000           968.713057            12.726496           924.921809           961.358602           969.747625           975.868324           989.352968
CS-Price-Baa-1YR                127.000000           960.088583            14.735038           905.151250           953.612945           961.319530           968.824031           982.722186
CS-Price-Aaa-5YR                127.000000           926.723425            24.468799           770.723538           920.865753           927.844927           939.586658           961.069729
CS-Price-Aa-5YR                 127.000000           935.093614            32.497518           780.177783           925.676196           942.773083           955.873363           974.583880
CS-Price-A-5YR                  127.000000           904.904388            40.885852           720.315933           886.171530           915.407656           932.974588           956.613684
CS-Price-Baa-5YR                127.000000           865.381664            49.057561           645.831859           844.100658           869.550298           900.239934           931.592380
CS-Aaa-3MO-diff                 127.000000            -0.037606             0.172581            -0.508000            -0.134000            -0.039000             0.081500             0.340000
CS-Aa-3MO-diff                  127.000000            -0.037606             0.172581            -0.508000            -0.134000            -0.039000             0.081500             0.340000
CS-A-3MO-diff                   127.000000            -0.048047             0.191287            -0.611000            -0.141000            -0.049000             0.078000             0.519000
CS-Baa-3MO-diff                 127.000000            -0.061874             0.215754            -0.899000            -0.168000            -0.050000             0.068500             0.509000
CS-Price-Aaa-3MO-diff           127.000000             0.095648             0.722686            -2.204706            -0.211684             0.118593             0.404020             5.434227
CS-Price-Aa-3MO-diff            127.000000             0.109908             0.503709            -0.985209            -0.240786             0.114874             0.393750             1.446000
CS-Price-A-3MO-diff             127.000000             0.138772             0.550534            -1.447054            -0.228988             0.143991             0.414333             1.714387
