                   column           const.coef                ar(1)
0           Corp-Aaa_Corp             5.477111             0.992768
1            Corp-Aa_Corp             6.071098             0.996712
2             Corp-A_Corp             5.847362             0.994653
3           Corp-Baa_Corp             6.405307             0.993076
4               TB-3MO-TY             4.346833             0.997505
5               TB-1YR-TY             4.379603             0.997208
6               TB-5YR-TY             4.550925             0.994679
7             Econ-UNRATE             5.150599             0.994920
8            Econ-DSPIC96        10,506.347983             0.999788
9           Econ-CPIAUCSL           192.174341             0.999951
10          Econ-CPILFESL           198.450859             0.999981
11            Econ-INDPRO            87.235119             0.999638
12               Econ-PCE         8,461.077799             1.000000
13           Market-SP500         1,557.238334             0.998895
14    Market-SP500-change             0.702320             0.019485
15            Market-RMRF            -2.089236             0.232632
16             CS-Aaa-3MO             2.138029             0.954522
17              CS-Aa-3MO             2.189867             0.963143
18               CS-A-3MO             2.423377             0.971062
19             CS-Baa-3MO             3.043790             0.974732
20             CS-Aaa-1YR             1.871524             0.964963
21              CS-Aa-1YR             1.938760             0.975124
22               CS-A-1YR             2.130652             0.980129
23             CS-Baa-1YR             2.784304             0.979207
24             CS-Aaa-5YR             1.073499             0.920572
25              CS-Aa-5YR             1.133712             0.955450
26               CS-A-5YR             1.419115             0.965831
27             CS-Baa-5YR             2.076266             0.964546
28         CS-DCF-Aaa-3MO           993.632968             0.955487
29          CS-DCF-Aa-3MO           993.476662             0.963618
30           CS-DCF-A-3MO           992.805120             0.971640
31         CS-DCF-Baa-3MO           991.001364             0.975297
32         CS-DCF-Aaa-1YR           978.159371             0.966211
33          CS-DCF-Aa-1YR           977.364637             0.975728
34           CS-DCF-A-1YR           975.280465             0.980918
35         CS-DCF-Baa-1YR           967.931396             0.980199
36         CS-DCF-Aaa-5YR           938.436723             0.925315
37          CS-DCF-Aa-5YR           935.270073             0.958006
38           CS-DCF-A-5YR           920.195123             0.968680
39         CS-DCF-Baa-5YR           885.882276             0.967693
40        CS-Aaa-3MO-diff            -0.001772            -0.003165
41         CS-Aa-3MO-diff            -0.001772            -0.003165
42          CS-A-3MO-diff            -0.001401             0.150930
43        CS-Baa-3MO-diff            -0.001343             0.211499
44        CS-Aaa-1YR-diff            -0.001471             0.042519
45         CS-Aa-1YR-diff            -0.001471             0.042519
46          CS-A-1YR-diff            -0.001397             0.241176
47        CS-Baa-1YR-diff            -0.001421             0.243881
48        CS-Aaa-5YR-diff            -0.000708             0.056214
49         CS-Aa-5YR-diff            -0.000708             0.056214
50          CS-A-5YR-diff            -0.000851             0.286770
51        CS-Baa-5YR-diff            -0.000917             0.303369
52    CS-DCF-Aaa-3MO-diff             0.002662            -0.033893
53     CS-DCF-Aa-3MO-diff             0.005406            -0.009824
54      CS-DCF-A-3MO-diff             0.004215             0.142900
55    CS-DCF-Baa-3MO-diff             0.004009             0.203324
56    CS-DCF-Aaa-1YR-diff             0.008865            -0.047593
57     CS-DCF-Aa-1YR-diff             0.017983             0.029571
58      CS-DCF-A-1YR-diff             0.016375             0.228195
59    CS-DCF-Baa-1YR-diff             0.016409             0.236579
60    CS-DCF-Aaa-5YR-diff            -0.000094            -0.051327
61     CS-DCF-Aa-5YR-diff             0.045288             0.032058
62      CS-DCF-A-5YR-diff             0.045775             0.256183
63    CS-DCF-Baa-5YR-diff             0.046805             0.274067
64         TB-3MO-TY-diff            -0.015942             0.239592
65         TB-1YR-TY-diff            -0.015588             0.344096
66         TB-5YR-TY-diff            -0.016684             0.138894
67       Market-RMRF-diff             0.026393            -0.477959
68      Market-SP500-diff             7.328103            -0.065141
69       Econ-UNRATE-diff            -0.004826             0.126219
70      Econ-DSPIC96-diff            23.175263            -0.177316
71     Econ-CPIAUCSL-diff             0.362763             0.414507
72     Econ-CPILFESL-diff             0.372420             0.223650
73       Econ-INDPRO-diff             0.131813             0.217469
74          Econ-PCE-diff            30.846148             0.047481
75  Market-SP500-pc-delta             0.007023             0.019486
