                                     count                 mean                  std                  min                  25%                  50%                  75%                  max
Corp-Aaa_Corp                   355.000000             5.061441             1.980965             1.822678             3.185932             5.080050             6.767843             9.819380
Corp-Aa_Corp                    355.000000             5.059000             2.127372             1.776138             3.066757             5.278361             6.774815            10.719521
Corp-A_Corp                     355.000000             5.441531             1.979839             2.335005             3.604734             5.705350             6.917900            10.127358
Corp-Baa_Corp                   355.000000             6.116877             1.957055             3.076685             4.277216             6.229064             7.464710            10.833318
TB-3MO-TY                       355.000000             2.785831             2.292307             0.000000             0.270000             2.450000             5.005000             8.070000
TB-1YR-TY                       355.000000             3.050732             2.322437             0.090000             0.600000             2.730000             5.155000             8.580000
TB-5YR-TY                       355.000000             3.977887             2.145323             0.590000             1.930000             3.930000             5.795000             9.040000
Econ-UNRATE                     355.000000             5.868451             1.588880             3.600000             4.700000             5.500000             6.800000            10.000000
Econ-DSPIC96                    355.000000        10,505.067606         2,358.213206         6,770.200000         8,240.050000        10,685.500000        12,269.350000        15,021.200000
Econ-CPIAUCSL                   355.000000           193.008631            37.299517           128.000000           160.300000           191.600000           228.557000           256.294000
Econ-CPILFESL                   355.000000           199.146992            35.716660           132.700000           169.550000           198.300000           228.691500           264.180000
Econ-INDPRO                     355.000000            91.133970            13.844813            62.119000            82.542100            94.933800           102.058750           110.551600
Econ-PCE                        355.000000         8,461.066197         3,132.329844         3,728.200000         5,521.500000         8,420.600000        10,952.650000        14,682.400000
Market-SP500                    355.000000         1,252.546227           649.546488           304.000000           808.310000         1,186.689900         1,471.620000         2,980.379900
Market-SP500-change             355.000000             0.702452             4.102450           -16.942500            -1.737750             1.067400             3.258300            11.158800
Market-RMRF                     355.000000            -2.083379             4.651723           -19.679700            -4.697900            -1.680600             0.824700            10.752300
CS-Aaa-3MO                      355.000000             2.275611             1.039238            -0.023000             1.565000             2.187000             2.940500             6.609000
CS-Aa-3MO                       355.000000             2.273175             1.091364             0.060000             1.506500             2.150000             2.919000             7.150000
CS-A-3MO                        355.000000             2.655699             1.252593             0.271000             1.788000             2.610000             3.399500             8.654000
CS-Baa-3MO                      355.000000             3.331051             1.462225             0.588000             2.250500             3.335000             4.128000             9.893000
CS-Aaa-1YR                      355.000000             2.010710             0.946879             0.149000             1.269500             1.968000             2.664500             5.729000
CS-Aa-1YR                       355.000000             2.008273             1.003056             0.201000             1.249000             1.916000             2.629500             6.270000
CS-A-1YR                        355.000000             2.390797             1.186635             0.421000             1.445500             2.320000             3.003500             7.774000
CS-Baa-1YR                      355.000000             3.066149             1.410542             0.788000             1.954500             3.037000             3.841000             9.003000
CS-Aaa-5YR                      355.000000             1.083555             0.514513             0.524000             0.753500             0.999000             1.263000             4.436000
CS-Aa-5YR                       355.000000             1.081118             0.634954             0.209000             0.710500             0.961000             1.265000             5.023000
CS-A-5YR                        355.000000             1.463642             0.836899             0.654000             0.932000             1.227000             1.690000             6.448000
CS-Baa-5YR                      355.000000             2.138994             1.047133             0.920000             1.487500             1.848000             2.522500             7.973000
CS-DCF-Aaa-3MO                  355.000000           993.218049             3.050611           980.774561           991.247634           993.459087           995.300686         1,000.069777
CS-DCF-Aa-3MO                   355.000000           993.227233             3.195734           979.269827           991.310442           993.568225           995.474634           999.818071
CS-DCF-A-3MO                    355.000000           992.109820             3.639275           975.138115           989.910827           992.215015           994.638740           999.179415
CS-DCF-Baa-3MO                  355.000000           990.148276             4.204853           971.789997           987.804917           990.098210           993.271901           998.223204
CS-DCF-Aaa-1YR                  355.000000           976.504011            10.809957           935.334708           968.937239           976.884725           984.975893           998.214926
CS-DCF-Aa-1YR                   355.000000           976.545034            11.411859           929.623692           969.333784           977.482871           985.215223           997.593322
CS-DCF-A-1YR                    355.000000           972.215612            13.326979           914.077876           965.111791           972.853313           982.925621           994.971291
CS-DCF-Baa-1YR                  355.000000           964.641579            15.566740           901.724478           955.778740           964.735264           977.039948           990.625281
CS-DCF-Aaa-5YR                  355.000000           937.868818            27.014635           770.723538           927.460161           942.101200           955.958744           969.128646
CS-DCF-Aa-5YR                   355.000000           938.257744            33.293067           745.235408           927.350276           944.230748           958.410333           987.551221
CS-DCF-A-5YR                    355.000000           917.739443            42.007406           687.345294           904.337466           929.440950           945.859708           961.642766
