                       obs                 mean               stddev                  min                  max
Corp-Aaa_Corp          355             5.061441             1.978173             1.822678             9.819380
Corp-Aa_Corp           355             5.059000             2.124374             1.776138            10.719521
Corp-A_Corp            355             5.441531             1.977049             2.335005            10.127358
Corp-Baa_Corp          355             6.116877             1.954296             3.076685            10.833318
TB-3MO-TY              355             2.785831             2.289077             0.000000             8.070000
TB-1YR-TY              355             3.050732             2.319163             0.090000             8.580000
TB-5YR-TY              355             3.977887             2.142299             0.590000             9.040000
Econ-UNRATE            355             5.868451             1.586640             3.600000            10.000000
Econ-DSPIC96           355        10,505.067606         2,354.889437         6,770.200000        15,021.200000
Econ-CPIAUCSL          355           193.008631            37.246945           128.000000           256.294000
Econ-CPILFESL          355           199.146992            35.666319           132.700000           264.180000
Econ-INDPRO            355            91.133970            13.825299            62.119000           110.551600
Econ-PCE               355         8,461.066197         3,127.915001         3,728.200000        14,682.400000
Market-SP500           355         1,252.546227           648.630989           304.000000         2,980.379900
Market-SP500-change    355             0.702452             4.096668           -16.942500            11.158800
Market-RMRF            355            -2.083379             4.645166           -19.679700            10.752300
CS-Aaa-3MO             355             2.275611             1.037773            -0.023000             6.609000
CS-Aa-3MO              355             2.273175             1.089826             0.060000             7.150000
CS-A-3MO               355             2.655699             1.250828             0.271000             8.654000
CS-Baa-3MO             355             3.331051             1.460164             0.588000             9.893000
CS-Aaa-1YR             355             2.010710             0.945544             0.149000             5.729000
CS-Aa-1YR              355             2.008273             1.001642             0.201000             6.270000
CS-A-1YR               355             2.390797             1.184963             0.421000             7.774000
CS-Baa-1YR             355             3.066149             1.408554             0.788000             9.003000
CS-Aaa-5YR             355             1.083555             0.513788             0.524000             4.436000
CS-Aa-5YR              355             1.081118             0.634059             0.209000             5.023000
CS-A-5YR               355             1.463642             0.835719             0.654000             6.448000
CS-Baa-5YR             355             2.138994             1.045657             0.920000             7.973000
CS-DCF-Aaa-3MO         355           993.218049             3.046311           980.774561         1,000.069777
CS-DCF-Aa-3MO          355           993.227233             3.191230           979.269827           999.818071
CS-DCF-A-3MO           355           992.109820             3.634145           975.138115           999.179415
CS-DCF-Baa-3MO         355           990.148276             4.198927           971.789997           998.223204
CS-DCF-Aaa-1YR         355           976.504011            10.794721           935.334708           998.214926
CS-DCF-Aa-1YR          355           976.545034            11.395774           929.623692           997.593322
CS-DCF-A-1YR           355           972.215612            13.308196           914.077876           994.971291
CS-DCF-Baa-1YR         355           964.641579            15.544799           901.724478           990.625281
CS-DCF-Aaa-5YR         355           937.868818            26.976560           770.723538           969.128646
CS-DCF-Aa-5YR          355           938.257744            33.246143           745.235408           987.551221
CS-DCF-A-5YR           355           917.739443            41.948199           687.345294           961.642766
CS-DCF-Baa-5YR         355           882.557344            49.702208           631.115709           946.534720
CS-Aaa-3MO-diff        355            -0.001758             0.310361            -1.639000             2.104000
CS-Aa-3MO-diff         355            -0.001758             0.310361            -1.639000             2.104000
CS-A-3MO-diff          355            -0.001535             0.306110            -1.450000             2.468000
CS-Baa-3MO-diff        355            -0.001479             0.331613            -0.899000             2.984000
CS-Aaa-1YR-diff        355            -0.001645             0.237720            -1.348000             1.694000
CS-Aa-1YR-diff         355            -0.001645             0.237720            -1.348000             1.694000
CS-A-1YR-diff          355            -0.001423             0.236534            -0.820000             2.058000
CS-Baa-1YR-diff        355            -0.001366             0.285374            -0.889000             2.964000
CS-Aaa-5YR-diff        355            -0.000913             0.206460            -1.398000             1.424000
CS-Aa-5YR-diff         355            -0.000913             0.206460            -1.398000             1.424000
CS-A-5YR-diff          355            -0.000690             0.211565            -1.031000             1.788000
CS-Baa-5YR-diff        355            -0.000634             0.270443            -1.319000             2.704000
CS-DCF-Aaa-3MO-diff    355             0.002585             0.924322            -8.058609             5.434227
CS-DCF-Aa-3MO-diff     355             0.005274             0.905162            -5.974689             4.601199
CS-DCF-A-3MO-diff      355             0.004592             0.882142            -6.925284             3.995856
CS-DCF-Baa-3MO-diff    355             0.004392             0.944641            -8.162168             2.449877
CS-DCF-Aaa-1YR-diff    355             0.008811             2.827601           -26.508254            19.636813
CS-DCF-Aa-1YR-diff     355             0.019356             2.683676           -18.437306            15.498568
CS-DCF-A-1YR-diff      355             0.016647             2.608836           -21.950184             8.467423
CS-DCF-Baa-1YR-diff    355             0.015796             3.078241           -30.407636             8.967339
CS-DCF-Aaa-5YR-diff    355             0.000949            10.269098          -104.558644            76.980210
CS-DCF-Aa-5YR-diff     355             0.051326            10.610319           -68.025044            74.725761
CS-DCF-A-5YR-diff      355             0.038148            10.141276           -79.182876            43.667492
CS-DCF-Baa-5YR-diff    355             0.033713            12.242987          -107.592794            49.627295
TB-3MO-TY-diff         355            -0.016113             0.205372            -1.400000             0.520000
TB-1YR-TY-diff         355            -0.016225             0.216484            -1.230000             0.730000
TB-5YR-TY-diff         355            -0.016958             0.272655            -0.870000             0.920000
Market-RMRF-diff       355             0.030401             5.762230           -13.561200            20.959300
Market-SP500-diff      355             7.316563            54.177587          -253.319800           197.250000
Econ-UNRATE-diff       355            -0.004789             0.153842            -0.500000             0.500000
Econ-DSPIC96-diff      355            23.192676            79.653762          -749.500000           551.200000
Econ-CPIAUCSL-diff     355             0.362800             0.513141            -3.842000             2.700000
Econ-CPILFESL-diff     355             0.372056             0.164816            -0.248000             0.900000
Econ-INDPRO-diff       355             0.130980             0.581217            -4.368700             1.782400
Econ-PCE-diff          355            30.849859            34.054379          -139.500000           195.600000
Market-SP500-pc-delta  355             0.007024             0.040967            -0.169425             0.111588
