,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
Date,247,247,2017-11-30,1,1999-01-31,2019-07-31,,,,,,,
CS-Aaa-3MO,247.0,,,,,,2.2874453441295546,1.0961638448909545,-0.023,1.6404999999999998,2.343,2.926,6.609
CS-Aa-3MO,247.0,,,,,,2.239485829959514,1.1255720852559097,0.06,1.5495,2.167,2.7705,7.15
CS-A-3MO,247.0,,,,,,2.76448987854251,1.3609944202269932,0.271,1.8695,2.64,3.4725,8.654
CS-Baa-3MO,247.0,,,,,,3.5009635627530367,1.5856735952583212,0.588,2.3754999999999997,3.388,4.2355,9.893
CS-Agg-3MO,247.0,,,,,,2.1105344129554653,0.9855411856888495,0.057,1.466,2.098,2.8034999999999997,5.208
CS-Aaa-1YR,247.0,,,,,,2.0734574898785425,1.002178029118246,0.149,1.304,2.059,2.7545,5.729
CS-Aaa-1YR.1,247.0,,,,,,2.025497975708502,1.0397084365945901,0.201,1.3355000000000001,1.966,2.6295,6.27
CS-Aa-1YR,247.0,,,,,,2.5505020242914984,1.2830682416772554,0.421,1.6095000000000002,2.493,3.349,7.774
CS-Baa-1YR,247.0,,,,,,3.2869757085020246,1.5175846232874195,0.788,2.1185,3.234,4.072,9.003
CS-Agg-1YR,247.0,,,,,,1.8965465587044534,0.8948022927712459,0.19,1.1745,1.889,2.6295,4.328
CS-Aaa-5YR,247.0,,,,,,1.1833765182186238,0.5755318289313209,0.573,0.821,1.096,1.3375,4.436
CS-Aa-5YR,247.0,,,,,,1.135417004048583,0.7241979360672025,0.209,0.7175,0.983,1.321,5.023
CS-A-5YR,247.0,,,,,,1.660421052631579,0.9196883092774701,0.691,1.0554999999999999,1.44,1.9064999999999999,6.448
CS-Baa-5YR,247.0,,,,,,2.3968947368421047,1.1296064809847524,1.174,1.649,2.163,2.8085,7.973
CS-Agg-5YR,247.0,,,,,,1.0064655870445345,0.4099733853025863,0.45,0.715,0.924,1.1589999999999998,3.029
3MO-TY,247.0,,,,,,1.8167813765182184,1.9205004600494453,0.0,0.11499999999999999,1.14,3.1399999999999997,6.38
1YR-TY,247.0,,,,,,2.0307692307692307,1.8945468427072496,0.09,0.31,1.39,3.3449999999999998,6.37
5YR-TY,247.0,,,,,,2.92085020242915,1.5553541429493785,0.59,1.64,2.63,4.205,6.71
